Model,Horizon,MAE,RMSE,MAPE
Persistence,15min,3.1613,6.1460,7.7936
Persistence,30min,3.8306,7.6965,9.8884
Persistence,60min,4.9047,9.8092,13.1549
HistoricalAverage,15min,5.1203,8.7771,15.9265
HistoricalAverage,30min,5.1204,8.7772,15.9266
HistoricalAverage,60min,5.1202,8.7766,15.9232
ARIMA,15min,3.3240,6.6142,8.3576
ARIMA,30min,3.9472,7.9828,10.2701
ARIMA,60min,5.0090,10.0367,13.4494
RandomForest,15min,3.0485,5.8499,8.2275
RandomForest,30min,3.7531,7.1259,10.7918
RandomForest,60min,4.7979,8.6971,14.5605
LSTM,15min,2.9880,5.6922,8.0597
LSTM,30min,3.6845,7.0107,10.6073
LSTM,60min,4.7594,8.5959,14.4176